metric,type
facial_metrics_CountingOnOneBreath_vLL_abs_min,facial_metrics
facial_metrics_CountingOnOneBreath_vLL_avg,facial_metrics
facial_metrics_CountingOnOneBreath_vLL_max,facial_metrics
facial_metrics_CountingOnOneBreath_vLL_min,facial_metrics
facial_metrics_CountingOnOneBreath_va_identifier_0,facial_metrics
facial_metrics_CountingOnOneBreath_width_avg,facial_metrics
facial_metrics_CountingOnOneBreath_width_max,facial_metrics
facial_metrics_CountingOnOneBreath_width_min,facial_metrics
facial_metrics_DDK_ICD_mm,facial_metrics
facial_metrics_DDK_ICD_px,facial_metrics
facial_metrics_DDK_ID_mm,facial_metrics
facial_metrics_DDK_ID_px,facial_metrics
facial_metrics_DDK_JC_path_avg,facial_metrics
facial_metrics_DDK_JC_path_max,facial_metrics
facial_metrics_DDK_LL_path_avg,facial_metrics
facial_metrics_DDK_LL_path_max,facial_metrics
facial_metrics_DDK_S_L_avg,facial_metrics
facial_metrics_DDK_S_L_max,facial_metrics
facial_metrics_DDK_S_R_avg,facial_metrics
facial_metrics_DDK_S_R_max,facial_metrics
facial_metrics_DDK_S_avg,facial_metrics
facial_metrics_DDK_S_max,facial_metrics
facial_metrics_DDK_S_ratio_avg,facial_metrics
facial_metrics_DDK_Utterance_dur,facial_metrics
facial_metrics_DDK_aJC_abs_avg,facial_metrics
facial_metrics_DDK_aJC_abs_max,facial_metrics
facial_metrics_DDK_aJC_abs_min,facial_metrics
facial_metrics_DDK_aJC_avg,facial_metrics
facial_metrics_DDK_aJC_max,facial_metrics
facial_metrics_DDK_aJC_min,facial_metrics
facial_metrics_DDK_aLL_abs_avg,facial_metrics
facial_metrics_DDK_aLL_abs_max,facial_metrics
facial_metrics_DDK_aLL_abs_min,facial_metrics
facial_metrics_DDK_aLL_avg,facial_metrics
facial_metrics_DDK_aLL_max,facial_metrics
facial_metrics_DDK_aLL_min,facial_metrics
facial_metrics_DDK_eye_blinks,facial_metrics
facial_metrics_DDK_eye_blinks_left,facial_metrics
facial_metrics_DDK_eye_blinks_right,facial_metrics
facial_metrics_DDK_eye_open_avg,facial_metrics
facial_metrics_DDK_eye_open_left_avg,facial_metrics
facial_metrics_DDK_eye_open_left_max,facial_metrics
facial_metrics_DDK_eye_open_max,facial_metrics
facial_metrics_DDK_eye_open_right_avg,facial_metrics
facial_metrics_DDK_eye_open_right_max,facial_metrics
facial_metrics_DDK_eyebrow_vpos_icd_avg,facial_metrics
facial_metrics_DDK_eyebrow_vpos_icd_left_avg,facial_metrics
facial_metrics_DDK_eyebrow_vpos_icd_left_max,facial_metrics
facial_metrics_DDK_eyebrow_vpos_icd_max,facial_metrics
facial_metrics_DDK_eyebrow_vpos_icd_right_avg,facial_metrics
facial_metrics_DDK_eyebrow_vpos_icd_right_max,facial_metrics
facial_metrics_DDK_eyebrow_vpos_nt_avg,facial_metrics
facial_metrics_DDK_eyebrow_vpos_nt_left_avg,facial_metrics
facial_metrics_DDK_eyebrow_vpos_nt_left_max,facial_metrics
facial_metrics_DDK_eyebrow_vpos_nt_max,facial_metrics
facial_metrics_DDK_eyebrow_vpos_nt_right_avg,facial_metrics
facial_metrics_DDK_eyebrow_vpos_nt_right_max,facial_metrics
facial_metrics_DDK_head_tilt_rotation_avg,facial_metrics
facial_metrics_DDK_head_tilt_rotation_max,facial_metrics
facial_metrics_DDK_head_tilt_rotation_min,facial_metrics
facial_metrics_DDK_head_tilt_translation_avg,facial_metrics
facial_metrics_DDK_head_tilt_translation_max,facial_metrics
facial_metrics_DDK_head_tilt_translation_min,facial_metrics
facial_metrics_DDK_jJC_abs_avg,facial_metrics
facial_metrics_DDK_jJC_abs_max,facial_metrics
facial_metrics_DDK_jJC_abs_min,facial_metrics
facial_metrics_DDK_jJC_avg,facial_metrics
facial_metrics_DDK_jJC_max,facial_metrics
facial_metrics_DDK_jJC_min,facial_metrics
facial_metrics_DDK_jLL_abs_avg,facial_metrics
facial_metrics_DDK_jLL_abs_max,facial_metrics
facial_metrics_DDK_jLL_abs_min,facial_metrics
facial_metrics_DDK_jLL_avg,facial_metrics
facial_metrics_DDK_jLL_max,facial_metrics
facial_metrics_DDK_jLL_min,facial_metrics
facial_metrics_DDK_normalization_distance_0,facial_metrics
facial_metrics_DDK_normalization_unit_0,facial_metrics
facial_metrics_DDK_normalized,facial_metrics
facial_metrics_DDK_open_avg,facial_metrics
facial_metrics_DDK_open_max,facial_metrics
facial_metrics_DDK_open_min,facial_metrics
facial_metrics_DDK_source_0,facial_metrics
facial_metrics_DDK_vJC_abs_avg,facial_metrics
